year,district,crime_type,crime_count
2023,Hatton,Rape (Adult),2
2023,Hatton,Robbery,7
2023,Hatton,Sexual Exploitation Of Children,0
2023,Hatton,Statutory Rape (Consensual),13
2023,Hatton,Statutory Rape (Non-consensual),1
2023,Hatton,Unlawful Assembly/ Riot,0
2023,Jaffna,Abduction,6
2023,Jaffna,Agriculture Theft > 50k,1
2023,Jaffna,Arson,33
2023,Jaffna,Attempt to Murder,1
2023,Jaffna,Cattle Theft > 50k,29
2023,Jaffna,Cheating / Breach of Trust > 300k,25
2023,Jaffna,Counterfeiting Currency,1
2023,Jaffna,Cruelty to Children,2
2023,Jaffna,Extortions,1
2023,Jaffna,Grave Sexual Abuse,6
2023,Jaffna,Grievous Hurt,29
2023,Jaffna,House Breaking,172
2023,Jaffna,Human Trafficking,0
2023,Jaffna,Hurt by Dangerous Weapons,60
2023,Jaffna,Illegal Firearms,0
2023,Jaffna,Kidnapping,7
2023,Jaffna,Mischief > 50k,11
2023,Jaffna,Murder,14
2023,Jaffna,Narcotic Drugs,38
2023,Jaffna,Obstructing Police,2
2023,Jaffna,Offences Against The State,1
2023,Jaffna,Offensive Weapons Act,1
2023,Jaffna,Property Theft > 50k,148
2023,Jaffna,Rape (Adult),5
2023,Jaffna,Robbery,89
2023,Jaffna,Sexual Exploitation Of Children,1
2023,Jaffna,Statutory Rape (Consensual),30
2023,Jaffna,Statutory Rape (Non-consensual),1
2023,Jaffna,Unlawful Assembly/ Riot,0
2023,Kaluthara,Abduction,25
2023,Kaluthara,Agriculture Theft > 50k,2
2023,Kaluthara,Arson,9
2023,Kaluthara,Attempt to Murder,2
2023,Kaluthara,Cattle Theft > 50k,32
2023,Kaluthara,Cheating / Breach of Trust > 300k,57
2023,Kaluthara,Counterfeiting Currency,3
2023,Kaluthara,Cruelty to Children,3
2023,Kaluthara,Extortions,1
2023,Kaluthara,Grave Sexual Abuse,26
2023,Kaluthara,Grievous Hurt,8
2023,Kaluthara,House Breaking,294
2023,Kaluthara,Human Trafficking,1
2023,Kaluthara,Hurt by Dangerous Weapons,42
2023,Kaluthara,Illegal Firearms,1
2023,Kaluthara,Kidnapping,3
2023,Kaluthara,Mischief > 50k,8
2023,Kaluthara,Murder,23
2023,Kaluthara,Narcotic Drugs,239
2023,Kaluthara,Obstructing Police,3
2023,Kaluthara,Offences Against The State,0
2023,Kaluthara,Offensive Weapons Act,4
2023,Kaluthara,Property Theft > 50k,148
2023,Kaluthara,Rape (Adult),4
2023,Kaluthara,Robbery,87
2023,Kaluthara,Sexual Exploitation Of Children,0
2023,Kaluthara,Statutory Rape (Consensual),40
2023,Kaluthara,Statutory Rape (Non-consensual),9
2023,Kaluthara,Unlawful Assembly/ Riot,0
2023,Kandy,Abduction,17
2023,Kandy,Agriculture Theft > 50k,1
2023,Kandy,Arson,6
2023,Kandy,Attempt to Murder,1
2023,Kandy,Cattle Theft > 50k,7
2023,Kandy,Cheating / Breach of Trust > 300k,80
2023,Kandy,Counterfeiting Currency,4
2023,Kandy,Cruelty to Children,4
2023,Kandy,Extortions,11
2023,Kandy,Grave Sexual Abuse,25
2023,Kandy,Grievous Hurt,42
2023,Kandy,House Breaking,462
2023,Kandy,Human Trafficking,1
2023,Kandy,Hurt by Dangerous Weapons,62
2023,Kandy,Illegal Firearms,0
2023,Kandy,Kidnapping,9
2023,Kandy,Mischief > 50k,8
2023,Kandy,Murder,16
2023,Kandy,Narcotic Drugs,49
2023,Kandy,Obstructing Police,8
2023,Kandy,Offences Against The State,0
2023,Kandy,Offensive Weapons Act,0
2023,Kandy,Property Theft > 50k,255
2023,Kandy,Rape (Adult),13
2023,Kandy,Robbery,78
2023,Kandy,Sexual Exploitation Of Children,1
2023,Kandy,Statutory Rape (Consensual),36
2023,Kandy,Statutory Rape (Non-consensual),3
2023,Kandy,Unlawful Assembly/ Riot,0
2023,Kantale,Abduction,7
2023,Kantale,Agriculture Theft > 50k,0
2023,Kantale,Arson,7
2023,Kantale,Attempt to Murder,3
2023,Kantale,Cattle Theft > 50k,25
2023,Kantale,Cheating / Breach of Trust > 300k,29
2023,Kantale,Counterfeiting Currency,0
2023,Kantale,Cruelty to Children,1
2023,Kantale,Extortions,0
2023,Kantale,Grave Sexual Abuse,5
2023,Kantale,Grievous Hurt,36
2023,Kantale,House Breaking,69
2023,Kantale,Human Trafficking,1
2023,Kantale,Hurt by Dangerous Weapons,24
2023,Kantale,Illegal Firearms,0
2023,Kantale,Kidnapping,0
2023,Kantale,Mischief > 50k,3
2023,Kantale,Murder,0
2023,Kantale,Narcotic Drugs,17
2023,Kantale,Obstructing Police,2
2023,Kantale,Offences Against The State,0
2023,Kantale,Offensive Weapons Act,2
2023,Kantale,Property Theft > 50k,35
2023,Kantale,Rape (Adult),2
2023,Kantale,Robbery,12
2023,Kantale,Sexual Exploitation Of Children,0
2023,Kantale,Statutory Rape (Consensual),16
2023,Kantale,Statutory Rape (Non-consensual),5
2023,Kantale,Unlawful Assembly/ Riot,0
2023,Kebithigollewa,Abduction,12
2023,Kebithigollewa,Agriculture Theft > 50k,0
2023,Kebithigollewa,Arson,14
2023,Kebithigollewa,Attempt to Murder,4
2023,Kebithigollewa,Cattle Theft > 50k,81
2023,Kebithigollewa,Cheating / Breach of Trust > 300k,67
2023,Kebithigollewa,Counterfeiting Currency,1
2023,Kebithigollewa,Cruelty to Children,0
2023,Kebithigollewa,Extortions,3
2023,Kebithigollewa,Grave Sexual Abuse,11
2023,Kebithigollewa,Grievous Hurt,29
2023,Kebithigollewa,House Breaking,177
2023,Kebithigollewa,Human Trafficking,0
2023,Kebithigollewa,Hurt by Dangerous Weapons,27
2023,Kebithigollewa,Illegal Firearms,1
2023,Kebithigollewa,Kidnapping,3
2023,Kebithigollewa,Mischief > 50k,13
2023,Kebithigollewa,Murder,7
2023,Kebithigollewa,Narcotic Drugs,8
2023,Kebithigollewa,Obstructing Police,11
2023,Kebithigollewa,Offences Against The State,0
2023,Kebithigollewa,Offensive Weapons Act,0
2023,Kebithigollewa,Property Theft > 50k,107
2023,Kebithigollewa,Rape (Adult),4
2023,Kebithigollewa,Robbery,35
2023,Kebithigollewa,Sexual Exploitation Of Children,0
2023,Kebithigollewa,Statutory Rape (Consensual),27
2023,Kebithigollewa,Statutory Rape (Non-consensual),5
2023,Kebithigollewa,Unlawful Assembly/ Riot,0
2023,Kelaniya,Abduction,18
2023,Kelaniya,Agriculture Theft > 50k,0
2023,Kelaniya,Arson,8
2023,Kelaniya,Attempt to Murder,9
2023,Kelaniya,Cattle Theft > 50k,0
2023,Kelaniya,Cheating / Breach of Trust > 300k,21
2023,Kelaniya,Counterfeiting Currency,5
2023,Kelaniya,Cruelty to Children,7
2023,Kelaniya,Extortions,5
2023,Kelaniya,Grave Sexual Abuse,17
2023,Kelaniya,Grievous Hurt,23
2023,Kelaniya,House Breaking,487
2023,Kelaniya,Human Trafficking,1
2023,Kelaniya,Hurt by Dangerous Weapons,57
2023,Kelaniya,Illegal Firearms,4
2023,Kelaniya,Kidnapping,10
2023,Kelaniya,Mischief > 50k,4
2023,Kelaniya,Murder,21
2023,Kelaniya,Narcotic Drugs,468
2023,Kelaniya,Obstructing Police,3
2023,Kelaniya,Offences Against The State,0
2023,Kelaniya,Offensive Weapons Act,11
2023,Kelaniya,Property Theft > 50k,315
2023,Kelaniya,Rape (Adult),8
2023,Kelaniya,Robbery,169
2023,Kelaniya,Sexual Exploitation Of Children,2
2023,Kelaniya,Statutory Rape (Consensual),27
2023,Kelaniya,Statutory Rape (Non-consensual),2
2023,Kelaniya,Unlawful Assembly/ Riot,0
