year,month,district,crime_type,crime_count
2022,11,Whole Island,Offences Against The State,0
2022,12,Whole Island,Offences Against The State,0
2022,1,Whole Island,Offensive Weapons Act,11
2022,2,Whole Island,Offensive Weapons Act,11
2022,3,Whole Island,Offensive Weapons Act,15
2022,4,Whole Island,Offensive Weapons Act,15
2022,5,Whole Island,Offensive Weapons Act,13
2022,6,Whole Island,Offensive Weapons Act,15
2022,7,Whole Island,Offensive Weapons Act,15
2022,8,Whole Island,Offensive Weapons Act,12
2022,9,Whole Island,Offensive Weapons Act,16
2022,10,Whole Island,Offensive Weapons Act,14
2022,11,Whole Island,Offensive Weapons Act,13
2022,12,Whole Island,Offensive Weapons Act,19
2022,1,Whole Island,Property Theft > 50k,452
2022,2,Whole Island,Property Theft > 50k,418
2022,3,Whole Island,Property Theft > 50k,387
2022,4,Whole Island,Property Theft > 50k,424
2022,5,Whole Island,Property Theft > 50k,548
2022,6,Whole Island,Property Theft > 50k,469
2022,7,Whole Island,Property Theft > 50k,515
2022,8,Whole Island,Property Theft > 50k,469
2022,9,Whole Island,Property Theft > 50k,408
2022,10,Whole Island,Property Theft > 50k,440
2022,11,Whole Island,Property Theft > 50k,367
2022,12,Whole Island,Property Theft > 50k,507
2022,1,Whole Island,Rape (Adult),17
2022,2,Whole Island,Rape (Adult),16
2022,3,Whole Island,Rape (Adult),24
2022,4,Whole Island,Rape (Adult),18
2022,5,Whole Island,Rape (Adult),23
2022,6,Whole Island,Rape (Adult),24
2022,7,Whole Island,Rape (Adult),26
2022,8,Whole Island,Rape (Adult),18
2022,9,Whole Island,Rape (Adult),23
2022,10,Whole Island,Rape (Adult),20
2022,11,Whole Island,Rape (Adult),21
2022,12,Whole Island,Rape (Adult),27
2022,1,Whole Island,Robbery,215
2022,2,Whole Island,Robbery,202
2022,3,Whole Island,Robbery,245
2022,4,Whole Island,Robbery,236
2022,5,Whole Island,Robbery,276
2022,6,Whole Island,Robbery,288
2022,7,Whole Island,Robbery,308
2022,8,Whole Island,Robbery,218
2022,9,Whole Island,Robbery,285
2022,10,Whole Island,Robbery,204
2022,11,Whole Island,Robbery,270
2022,12,Whole Island,Robbery,318
2022,1,Whole Island,Sexual Exploitation Of Children,1
2022,2,Whole Island,Sexual Exploitation Of Children,1
2022,3,Whole Island,Sexual Exploitation Of Children,1
2022,4,Whole Island,Sexual Exploitation Of Children,1
2022,5,Whole Island,Sexual Exploitation Of Children,3
2022,6,Whole Island,Sexual Exploitation Of Children,3
2022,7,Whole Island,Sexual Exploitation Of Children,3
2022,8,Whole Island,Sexual Exploitation Of Children,1
2022,9,Whole Island,Sexual Exploitation Of Children,3
2022,10,Whole Island,Sexual Exploitation Of Children,2
2022,11,Whole Island,Sexual Exploitation Of Children,3
2022,12,Whole Island,Sexual Exploitation Of Children,3
2022,1,Whole Island,Statutory Rape (Consensual),89
2022,2,Whole Island,Statutory Rape (Consensual),91
2022,3,Whole Island,Statutory Rape (Consensual),117
2022,4,Whole Island,Statutory Rape (Consensual),114
2022,5,Whole Island,Statutory Rape (Consensual),123
2022,6,Whole Island,Statutory Rape (Consensual),125
2022,7,Whole Island,Statutory Rape (Consensual),136
2022,8,Whole Island,Statutory Rape (Consensual),104
2022,9,Whole Island,Statutory Rape (Consensual),114
2022,10,Whole Island,Statutory Rape (Consensual),107
2022,11,Whole Island,Statutory Rape (Consensual),122
2022,12,Whole Island,Statutory Rape (Consensual),149
2022,1,Whole Island,Statutory Rape (Non-consensual),24
2022,2,Whole Island,Statutory Rape (Non-consensual),24
2022,3,Whole Island,Statutory Rape (Non-consensual),29
2022,4,Whole Island,Statutory Rape (Non-consensual),26
2022,5,Whole Island,Statutory Rape (Non-consensual),31
2022,6,Whole Island,Statutory Rape (Non-consensual),29
2022,7,Whole Island,Statutory Rape (Non-consensual),31
2022,8,Whole Island,Statutory Rape (Non-consensual),25
2022,9,Whole Island,Statutory Rape (Non-consensual),26
2022,10,Whole Island,Statutory Rape (Non-consensual),27
2022,11,Whole Island,Statutory Rape (Non-consensual),27
2022,12,Whole Island,Statutory Rape (Non-consensual),39
2022,1,Whole Island,Unlawful Assembly/ Riot,13
2022,2,Whole Island,Unlawful Assembly/ Riot,13
2022,3,Whole Island,Unlawful Assembly/ Riot,19
2022,4,Whole Island,Unlawful Assembly/ Riot,18
2022,5,Whole Island,Unlawful Assembly/ Riot,20
2022,6,Whole Island,Unlawful Assembly/ Riot,20
2022,7,Whole Island,Unlawful Assembly/ Riot,19
2022,8,Whole Island,Unlawful Assembly/ Riot,15
2022,9,Whole Island,Unlawful Assembly/ Riot,16
2022,10,Whole Island,Unlawful Assembly/ Riot,15
2022,11,Whole Island,Unlawful Assembly/ Riot,21
2022,12,Whole Island,Unlawful Assembly/ Riot,21
2022,1,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,128
2022,2,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,133
2022,3,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,162
2022,4,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,149
2022,5,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,165
2022,6,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,180
2022,7,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,180
2022,8,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,150
2022,9,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,151
2022,10,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,160
2022,11,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,156
2022,12,Whole Island,Voluntarily Causing Hurt By Dangerous Weapons,174
2023,1,Anurdhapura,Abduction,1
2023,2,Anurdhapura,Abduction,1
2023,3,Anurdhapura,Abduction,2
2023,4,Anurdhapura,Abduction,3
2023,5,Anurdhapura,Abduction,3
2023,6,Anurdhapura,Abduction,2
2023,7,Anurdhapura,Abduction,3
2023,8,Anurdhapura,Abduction,1
2023,9,Anurdhapura,Abduction,2
2023,10,Anurdhapura,Abduction,1
2023,11,Anurdhapura,Abduction,3
2023,12,Anurdhapura,Abduction,3
2023,1,Anurdhapura,Agriculture Theft > 50k,0
2023,2,Anurdhapura,Agriculture Theft > 50k,0
2023,3,Anurdhapura,Agriculture Theft > 50k,1
2023,4,Anurdhapura,Agriculture Theft > 50k,1
2023,5,Anurdhapura,Agriculture Theft > 50k,1
2023,6,Anurdhapura,Agriculture Theft > 50k,1
2023,7,Anurdhapura,Agriculture Theft > 50k,1
2023,8,Anurdhapura,Agriculture Theft > 50k,1
2023,9,Anurdhapura,Agriculture Theft > 50k,1
2023,10,Anurdhapura,Agriculture Theft > 50k,0
2023,11,Anurdhapura,Agriculture Theft > 50k,1
2023,12,Anurdhapura,Agriculture Theft > 50k,1
2023,1,Anurdhapura,Arson,2
2023,2,Anurdhapura,Arson,2
2023,3,Anurdhapura,Arson,4
2023,4,Anurdhapura,Arson,2
2023,5,Anurdhapura,Arson,4
2023,6,Anurdhapura,Arson,4
2023,7,Anurdhapura,Arson,4
2023,8,Anurdhapura,Arson,2
2023,9,Anurdhapura,Arson,2
2023,10,Anurdhapura,Arson,2
2023,11,Anurdhapura,Arson,2
2023,12,Anurdhapura,Arson,4
2023,1,Anurdhapura,Attempt to Murder,0
2023,2,Anurdhapura,Attempt to Murder,0
2023,3,Anurdhapura,Attempt to Murder,1
2023,4,Anurdhapura,Attempt to Murder,1
2023,5,Anurdhapura,Attempt to Murder,1
2023,6,Anurdhapura,Attempt to Murder,1
2023,7,Anurdhapura,Attempt to Murder,1
2023,8,Anurdhapura,Attempt to Murder,1
2023,9,Anurdhapura,Attempt to Murder,0
2023,10,Anurdhapura,Attempt to Murder,1
2023,11,Anurdhapura,Attempt to Murder,1
2023,12,Anurdhapura,Attempt to Murder,1
2023,1,Anurdhapura,Cattle Theft > 50k,7
